entry,ecb_issue,page_num,doc_page_num,main_entry
"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",1922,1,9,TRUE
"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",1922,1,9,TRUE
"Aaland Islands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",1922,1,9,TRUE
A.D.-Indian child's mother. 35. 6d... Sept. '22,1922,1,9,FALSE
"Aaron's rod, Lawrence (D. H.) 7s. 6d. net, June '22",1922,1,9,FALSE
"Abbé Pierre, Hudson (J. W.) 78. 6d. net. . May'22",1922,1,9,FALSE
"Abbeville window, From an, Fedden (M.) 55. net. Sept. '22",1922,1,9,FALSE
"Abbey girls go back to school, Oxenham (E. J.) 6s. net .Aug. '22",1922,1,9,FALSE
"Abbo (St.) of Fleury: Text of "" Quaestione grammaticales,” Bradley (H.) is. net. . Apr.'22",1922,1,9,FALSE
"Abbot, Scott (W., Sir) 15. 6d. net ...... Apr. 22",1922,1,9,FALSE
"Abbott (G. F.)—Greece and the Allies, 1914–1922. Cr. 8vo, 74 x 5, pp. 253, 78. 6d. net. METHUEN, Dec. '22",1922,1,9,TRUE
"Abbott (Lyman)-Silhouettes of my contempor- aries. 8vo. 81 x 51, pp. 361, I2s. 6d. net ALLEN & U., May '22",1922,1,9,TRUE
"Abbott (T. K.) and Gwynn (E. W.)–Catalogue of the Irish manuscripts in the library of Trinity College, Dublin. 81x6, pp. 465, 215. net (Hodges, Figgis) LONGMANS, Apr. '22",1922,1,9,TRUE
"Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 75. 6d. net......LIPPINCOTT, Dec. '22",1922,1,9,TRUE
"Abbott-Smith (G.) A Manual Greek lexicon of the New Testament. 9 X 6, pp. 528. 218. net T. & T. CLARK, Mar.'22",1922,1,9,TRUE
"Abdication, Candler (E.) 75. 6d. net....Mar. '22",1922,1,9,FALSE
"Abdullah (Achmed)—Night drums. Cr. 8vo. 74 x 5, pp. 287, 78. 6d net .. HUTCHINSON, May'22",1922,1,9,TRUE
"Abercrombie (Lascelles)-An Essay towards a theory of art. Cr. 8vo. 7 x 5, pp. 115, 58. net M. SECKER, June '22",1922,1,9,TRUE
"Abercrombie (Lascelles)—Four short plays. Cr. 8vo. 7* X 51, PP, 176. 6s. net. M. SECKER, July '22",1922,1,9,TRUE
"Abercrombie (Patrick) and Johnson (T. H.)—The Doncaster regional planning scheme : the report prepared for the Joint Committee. 4to, pp. 93, swd. ros, net.... HODDER & S., Dec. '22",1922,1,9,TRUE
"Aberdeen : Old Deeside Road, Fraser (G. M.) 125, 6d. net . Dec. '21",1922,1,9,FALSE
"Aberdeen, Guide to old, Skea (W.) 6d. net Apr.'22",1922,1,9,FALSE
"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",1922,1,9,TRUE
"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 125. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",1922,1,9,TRUE
"Able to the uttermost, Spurgeon (C. H.) 5s. net Mar. '22.",1922,1,9,FALSE
"About life, Watson (B.) 75. 6d. net....Oct. '22",1922,1,9,FALSE
"About me : poems for little folk, Collett (M.) 6J. net ... Mar. '22",1922,1,9,FALSE
"Abraham (George D.)--Swiss mountain climbs. Cheaper ed. Cr. 8vo. 7X 44, pp. 447, 75. 6d. net. MILLS & B., July '22",1922,1,9,TRUE
Abrasive materials. Searle (A. B.) 25. 6d. net. Oct. '22,1922,1,9,FALSE
"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",1922,1,9,TRUE
"Abyssinia, Royal chronicle of (Blundell) 5os. net. Dec. '22",1922,1,9,FALSE
Accident claims Geilinger (A. E.) 5s. net. Nov. '22,1922,1,9,FALSE
"Accidents (Street)--Return, 1921. 2d. net H.M.S.O., Apr. '22",1922,1,9,TRUE
"Accountant students, Economics and statistics for, David (W.) 1os. 9d. net..........Mar. '22",1922,1,9,FALSE
"Accountant, Economics for the, Simpson (K.) 8s. 6d. net Jan. '22",1922,1,9,FALSE
"Accountant's dictionary, Pixley (F. W.) 635. net Apr.'22",1922,1,9,FALSE
"Accountants (Institute of Chartered)--List of members, 1922 ; Royal Charter and by-laws. 7} x 51, pp. 1,125, swd, 2s. ......GEE, Feb. '22",1922,1,9,TRUE
"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 35. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",1922,1,9,TRUE
"Accounting principles, Bell (S.), 155. net.. Apr.'22",1922,1,9,FALSE
"Accounts (Public)—3rd report from the Select Ctte. 6d. net ...H.M.S.O., Aug. '22",1922,1,9,TRUE
"Accounts (Public)—and report. 2d. H.M.S.O., Mar. '22",1922,1,9,TRUE
"Accounts, Factory, Garcke and Fells. 155. net Jan. '22",1922,1,9,FALSE
"Accounts, Principles of, Jackson (T. C.) and Hurstwick (W.) 3s. net. .....Aug. '22",1922,1,9,FALSE
"Accumulators, Electric, Jones (B. E.) 15 6d. net Apr.'22",1922,1,9,FALSE
"Acharya (Sri Ananda)-Cakrasakha, the Com- panion of God. 8vo, pp. 141, 4s. 6d. net PROBSTHAIN, May '22",1922,1,9,TRUE
"""The woman. the AC Acharya (Sri Ananda)—Kalkaram: letters and poems of spiritual love and peace. Portrait. 8vo., pp. 524, 16s. net PROBSTHAIN, May ‘22",1922,2,10,TRUE
"Acharya (Sri Ananda)-Saki, the comrade : poems. 8vo., pp. 105, 38. 6d. net PROBSTHAIN, May'22",1922,2,10,TRUE
"Acharya (Sri Ananda)—Karlima Rani : lectures on the reconstruction of the humanity ideal. 8vo., pp. 243, 6s. net PROBSTHAIN, May'22",1922,2,10,TRUE
"Acharya (Sri Ananda)—Usarika : dawn rhythms. 8vo., pp. 34, 2s. net.... PROBSTHAIN, May'22",1922,2,10,TRUE
"Achilleus, Wrath of, Homer. ""(Trans. by Ernle), Ios. net ..May '22",1922,2,10,FALSE
"Achoson (Arthur)-Shakespeare's sonnet story, 1592-1598. With a monograph on Crosse Inn and the Tavern of Oxford,"" by E. T. Leeds. 9x6}, pp. 707, 30s. net. QUARITCH, Dec. '22",1922,2,10,TRUE
"Ackermann (Louise)-Thoughts of a lonely From the French, by A. L. G. 57 x 4, pp. 68, Is. 6d. net. GOWANS & G., Jan. '22",1922,2,10,TRUE
"Ackland (Mary)-The Temple of your heart, and other verse. 74 x 5, pp. 32, 25. net. STOCKWELL, Apr.'22",1922,2,10,TRUE
