original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"El-Khazreji's History of the Resuli Dynasty of Yenien by Aliyyu'bnu'l-Hasan 'El-Khazrejiyy. Edit. by Shaykh Muhammad’Asal. Text, part 1. Ryl. 8vo., pp. 456, 8s. net. (Gibb Memorial Fund ser., vol. 3, pt. 4) LUZAC, Apr. 13",97,105,,,"El-Khazreji's History of the Resuli Dynasty of Yenien by Aliyyu'bnu'l-Hasan 'El-Khazrejiyy. Edit. by Shaykh Muhammad’Asal. Text, part 1.",Ryl. 8vo.,"pp. 456, 8s. net. (Gibb Memorial Fund ser., vol. 3, pt. 4)",LUZAC,Apr. 13
"Elbrow (G.)—The New English system of money, weights and measures and of arithmetic. 12mo. swd. is. net ....P. S. KING, May 13",95,103,,Elbrow (G.),"The New English system of money, weights and measures and of arithmetic.",12mo.,swd. is. net ....,P. S. KING,May 13
"Elder (Robert Dull) — The Sojourner. Cr. 8vo. 74 X5, pp. 344, 6s.......HARPER, Apr. 13",95,103,,Elder (Robert Dull),The Sojourner.,Cr. 8vo.,"74 X5, pp. 344, 6s.......",HARPER,Apr. 13
"Elderkin (G. W.)--Problems in Periclean buildings. 4to., pp. 58, bds. 78. 6d. net (Princeton mono- graphs in art and archæology. II.) FROWDE, Feb. 13",95,103,,Elderkin (G. W.),Problems in Periclean buildings.,4to.,"pp. 58, bds. 78. 6d. net (Princeton mono- graphs in art and archæology. II.)",FROWDE,Feb. 13
"Elderton (Ethel M.) and others-On the correlation of fertility with social value: a co-operative study. 4to. swd. 6s. net. (Eugenics laboratory memoirs, XVIII.) .DULAU, July 13",95,103,,Elderton (Ethel M.) and others,On the correlation of fertility with social value: a co-operative study.,4to. swd.,"6s. net. (Eugenics laboratory memoirs, XVIII.)",.DULAU,July 13
"Elderton (W. P.) and Perry (S. J.)-A Fourth study of the statistics of pulmonary tuber- culosis: the mortality of the tuberculous, sanatorium and tuberculin treatment. 4to. swd. 35. net (Drapers' Company research memoirs) .DULAU, Feb. 13",95,103,,Elderton (W. P.) and Perry (S. J.),"A Fourth study of the statistics of pulmonary tuber- culosis: the mortality of the tuberculous, sanatorium and tuberculin treatment.",4to. swd.,35. net (Drapers' Company research memoirs),.DULAU,Feb. 13
"Electrical standards : Reports of the Committee on Electrical Standards, appointed by the British Association for the Advancement of Science. Reprinted by permission of the Council. A Record of the history of “abso- lute units,” and of Lord Kelvin's work in connection with these. 12 plates. Demy 8vo., pp. 808, 12s. 6d. net CAMB. UNIV. PRESS, Feb. 13",96,104,,,"Electrical standards : Reports of the Committee on Electrical Standards, appointed by the British Association for the Advancement of Science. Reprinted by permission of the Council. A Record of the history of “abso- lute units,” and of Lord Kelvin's work in connection with these. 12 plates.",Demy 8vo.,"pp. 808, 12s. 6d. net",CAMB. UNIV. PRESS,Feb. 13
"Eley (W. G). --Retrievers and retrieving. Rev. edit. With a chapter on retriever trials. Cr. 8vo.; 8 X4 pp. 166, 5s, net. ..H. COX, Nov, 13",96,104,,Eley (W. G).,Retrievers and retrieving. Rev. edit. With a chapter on retriever trials.,Cr. 8vo.,"8 X4 pp. 166, 5s, net. ..",H. COX,"Nov, 13"
"Elias (Edith L.) ed.-English literature in prose and verse : from Chaucer to Bunyan. Cr. 8vo. 7} X4$, pp. 224, Is. 3d.....HARRAP, Aug. 13",96,104,,Elias (Edith L.) ed.,English literature in prose and verse : from Chaucer to Bunyan.,Cr. 8vo.,"7} X4$, pp. 224, Is. 3d.....",HARRAP,Aug. 13
"Elias (Edith L.)-Great names in English literature. Vol. 1. Chaucer to Bunyan. Cr. 8vo. 71 x 5, pp. 244, is. 3d. ... ...HARRAP, Aug. 13",96,104,,Elias (Edith L.),Great names in English literature. Vol. 1. Chaucer to Bunyan.,Cr. 8vo.,"71 x 5, pp. 244, is. 3d. ... ...",HARRAP,Aug. 13
"Elias (Frank)—The Gorgeous East : India. Burma, Ceylon, and Siam. 8vo. 81 X51, pp. 232, 38. 6d. net. (Peeps at many lands) BLACK, Oct. 13",96,104,,Elias (Frank),"The Gorgeous East : India. Burma, Ceylon, and Siam.",8vo.,"81 X51, pp. 232, 38. 6d. net. (Peeps at many lands)",BLACK,Oct. 13
"Eliot (George) —Adam Bede. Illus. by Gordon Browne. Ryl. 8vo. 103 77, pp. 532, 1os. 6d. net .CHAMBERS, Oct. 13",96,104,,Eliot (George),Adam Bede. Illus. by Gordon Browne.,Ryl. 8vo.,"103 77, pp. 532, 1os. 6d. net .",CHAMBERS,Oct. 13
"Eliot (George)--The Mill on the Floss. Edit. with intro. and notes by R. O. Morris. 16mo., pp. 650, 25. ..(Clarendon Press) FROWDE, June 13",96,104,,Eliot (George),The Mill on the Floss. Edit. with intro. and notes by R. O. Morris.,16mo.,"pp. 650, 25. ..",(Clarendon Press) FROWDE,June 13
